subject,predicate,object,source_url,sentence
Alvarez,devise,Mother Nature,https://www.famousscientists.org/luis-alvarez/,In 1937 Alvarez devised a new experiment to ask Mother Nature whether the process really happened.
Alvarez,spend,Berkeley,https://www.famousscientists.org/luis-alvarez/,"The Cyclotron
Alvarez spent a lot of time at Berkeley working with the cyclotron (particle accelerator/atom smasher)."
Alvarez,improve,1933,https://www.famousscientists.org/luis-alvarez/,"Air Safety Improved by Ground-Controlled Approach
Alvarez was an enthusiastic pilot; he learned to fly in 1933."
1943,detect,Alvarez,https://www.famousscientists.org/luis-alvarez/,"Detecting Nuclear Weapons Projects
In 1943, during World War 2, Alvarez was asked if it would be possible to tell scientifically if Germany had its own atom bomb project."
1943,detect,Germany,https://www.famousscientists.org/luis-alvarez/,"Detecting Nuclear Weapons Projects
In 1943, during World War 2, Alvarez was asked if it would be possible to tell scientifically if Germany had its own atom bomb project."
Alvarez,detect,Germany,https://www.famousscientists.org/luis-alvarez/,"Detecting Nuclear Weapons Projects
In 1943, during World War 2, Alvarez was asked if it would be possible to tell scientifically if Germany had its own atom bomb project."
1944,arrive,Alvarez,https://www.famousscientists.org/luis-alvarez/,"In 1944, Alvarez arrived at Los Alamos, New Mexico, to work on the Manhattan Project."
1944,arrive,Los Alamos,https://www.famousscientists.org/luis-alvarez/,"In 1944, Alvarez arrived at Los Alamos, New Mexico, to work on the Manhattan Project."
1944,arrive,New Mexico,https://www.famousscientists.org/luis-alvarez/,"In 1944, Alvarez arrived at Los Alamos, New Mexico, to work on the Manhattan Project."
1944,arrive,the Manhattan Project,https://www.famousscientists.org/luis-alvarez/,"In 1944, Alvarez arrived at Los Alamos, New Mexico, to work on the Manhattan Project."
Alvarez,arrive,Los Alamos,https://www.famousscientists.org/luis-alvarez/,"In 1944, Alvarez arrived at Los Alamos, New Mexico, to work on the Manhattan Project."
Alvarez,arrive,New Mexico,https://www.famousscientists.org/luis-alvarez/,"In 1944, Alvarez arrived at Los Alamos, New Mexico, to work on the Manhattan Project."
Alvarez,arrive,the Manhattan Project,https://www.famousscientists.org/luis-alvarez/,"In 1944, Alvarez arrived at Los Alamos, New Mexico, to work on the Manhattan Project."
Los Alamos,arrive,New Mexico,https://www.famousscientists.org/luis-alvarez/,"In 1944, Alvarez arrived at Los Alamos, New Mexico, to work on the Manhattan Project."
Los Alamos,arrive,the Manhattan Project,https://www.famousscientists.org/luis-alvarez/,"In 1944, Alvarez arrived at Los Alamos, New Mexico, to work on the Manhattan Project."
New Mexico,arrive,the Manhattan Project,https://www.famousscientists.org/luis-alvarez/,"In 1944, Alvarez arrived at Los Alamos, New Mexico, to work on the Manhattan Project."
Luis Alvarez,move,Berkeley,https://www.famousscientists.org/luis-alvarez/,"The Hydrogen Bubble Chamber, Discovery of New Subatomic Particles and the Nobel Prize
When the war was over, Luis Alvarez moved back to Berkeley as a full professor."
1932,complete,the year,https://www.famousscientists.org/luis-alvarez/,"By 1932, the year he completed his degree, the horizons of particle physics had widened greatly with the discovery of two new particles: the neutron, discovered by James Chadwick; and the positron, discovered by Carl Anderson."
1932,complete,James Chadwick,https://www.famousscientists.org/luis-alvarez/,"By 1932, the year he completed his degree, the horizons of particle physics had widened greatly with the discovery of two new particles: the neutron, discovered by James Chadwick; and the positron, discovered by Carl Anderson."
1932,complete,Carl Anderson,https://www.famousscientists.org/luis-alvarez/,"By 1932, the year he completed his degree, the horizons of particle physics had widened greatly with the discovery of two new particles: the neutron, discovered by James Chadwick; and the positron, discovered by Carl Anderson."
the year,complete,James Chadwick,https://www.famousscientists.org/luis-alvarez/,"By 1932, the year he completed his degree, the horizons of particle physics had widened greatly with the discovery of two new particles: the neutron, discovered by James Chadwick; and the positron, discovered by Carl Anderson."
the year,complete,Carl Anderson,https://www.famousscientists.org/luis-alvarez/,"By 1932, the year he completed his degree, the horizons of particle physics had widened greatly with the discovery of two new particles: the neutron, discovered by James Chadwick; and the positron, discovered by Carl Anderson."
James Chadwick,complete,Carl Anderson,https://www.famousscientists.org/luis-alvarez/,"By 1932, the year he completed his degree, the horizons of particle physics had widened greatly with the discovery of two new particles: the neutron, discovered by James Chadwick; and the positron, discovered by Carl Anderson."
the late 1940s,expand,1950,https://www.famousscientists.org/luis-alvarez/,"Further discoveries – K mesons and hyperons – expanded the particle world in the late 1940s, and by 1950 the pion family of particles had become known."
One day,talk,1953,https://www.famousscientists.org/luis-alvarez/,One day in 1953 Alvarez got talking to a young physicist.
One day,talk,Alvarez,https://www.famousscientists.org/luis-alvarez/,One day in 1953 Alvarez got talking to a young physicist.
1953,talk,Alvarez,https://www.famousscientists.org/luis-alvarez/,One day in 1953 Alvarez got talking to a young physicist.
Glaser,tell,Alvarez,https://www.famousscientists.org/luis-alvarez/,"Over a meal at a conference, Glaser told Alvarez about his new invention – the bubble chamber – which was an improved way of tracking subatomic particles."
Alvarez,think,Glaser,https://www.famousscientists.org/luis-alvarez/,Alvarez thought about what Glaser had told him.
early 1954,put,Alvarez,https://www.famousscientists.org/luis-alvarez/,"By early 1954, Alvarez had put together a small-scale liquid hydrogen bubble chamber at Berkeley."
early 1954,put,Berkeley,https://www.famousscientists.org/luis-alvarez/,"By early 1954, Alvarez had put together a small-scale liquid hydrogen bubble chamber at Berkeley."
Alvarez,put,Berkeley,https://www.famousscientists.org/luis-alvarez/,"By early 1954, Alvarez had put together a small-scale liquid hydrogen bubble chamber at Berkeley."
Alvarez,become,Walter,https://www.famousscientists.org/luis-alvarez/,"Dinosaur Death by Meteorite
Alvarez’s son Walter, like his father, had become a scientist."
Walter,decide,1977,https://www.famousscientists.org/luis-alvarez/,"Walter was a geologist, and one day in 1977 he decided to tell his father about a problem he had."
Paris,notice,the early 1800s,https://www.famousscientists.org/luis-alvarez/,"The boundary and the change of lifeforms on either side of it were noticed in Paris in the early 1800s by Georges Cuvier, who proposed that some catastrophic event had caused the clay layer."
Paris,notice,Georges Cuvier,https://www.famousscientists.org/luis-alvarez/,"The boundary and the change of lifeforms on either side of it were noticed in Paris in the early 1800s by Georges Cuvier, who proposed that some catastrophic event had caused the clay layer."
the early 1800s,notice,Georges Cuvier,https://www.famousscientists.org/luis-alvarez/,"The boundary and the change of lifeforms on either side of it were noticed in Paris in the early 1800s by Georges Cuvier, who proposed that some catastrophic event had caused the clay layer."
Walter,want,Italy,https://www.famousscientists.org/luis-alvarez/,They wanted to determine how long it took for the 1 centimeter deep layer Walter had been investigating in Italy to form.
Luis,come,each year,https://www.famousscientists.org/luis-alvarez/,"Iridium in the earth’s crust comes mainly from meteorite impacts, and Luis had calculated the average amount of iridium that arrives on Earth each year from meteorites."
Luis,ask,Frank Asaro,https://www.famousscientists.org/luis-alvarez/,"Luis asked Frank Asaro, a nuclear chemist at the Lawrence Berkeley laboratory, to determine the iridium content of samples of gray clay from the K-T boundary layer."
Luis,ask,Lawrence Berkeley,https://www.famousscientists.org/luis-alvarez/,"Luis asked Frank Asaro, a nuclear chemist at the Lawrence Berkeley laboratory, to determine the iridium content of samples of gray clay from the K-T boundary layer."
Frank Asaro,ask,Lawrence Berkeley,https://www.famousscientists.org/luis-alvarez/,"Luis asked Frank Asaro, a nuclear chemist at the Lawrence Berkeley laboratory, to determine the iridium content of samples of gray clay from the K-T boundary layer."
Asaro,find,Helen Michel,https://www.famousscientists.org/luis-alvarez/,"Asaro and his nuclear chemist colleague Helen Michel found much higher concentrations of iridium in the samples than anyone could have imagined, much more than could be explained by the normal number of meteorite impacts."
1990,come,two years,https://www.famousscientists.org/luis-alvarez/,"In 1990, two years after Luis Alvarez’s death, the Chicxulub crater in the sea off Mexico’s Yucatan Peninsula came to the attention of geologists, who agreed that the profile and age of the crater matched the Alvarez predictions."
1990,come,Luis Alvarez’s,https://www.famousscientists.org/luis-alvarez/,"In 1990, two years after Luis Alvarez’s death, the Chicxulub crater in the sea off Mexico’s Yucatan Peninsula came to the attention of geologists, who agreed that the profile and age of the crater matched the Alvarez predictions."
1990,come,Mexico,https://www.famousscientists.org/luis-alvarez/,"In 1990, two years after Luis Alvarez’s death, the Chicxulub crater in the sea off Mexico’s Yucatan Peninsula came to the attention of geologists, who agreed that the profile and age of the crater matched the Alvarez predictions."
1990,come,Alvarez,https://www.famousscientists.org/luis-alvarez/,"In 1990, two years after Luis Alvarez’s death, the Chicxulub crater in the sea off Mexico’s Yucatan Peninsula came to the attention of geologists, who agreed that the profile and age of the crater matched the Alvarez predictions."
two years,come,Luis Alvarez’s,https://www.famousscientists.org/luis-alvarez/,"In 1990, two years after Luis Alvarez’s death, the Chicxulub crater in the sea off Mexico’s Yucatan Peninsula came to the attention of geologists, who agreed that the profile and age of the crater matched the Alvarez predictions."
two years,come,Mexico,https://www.famousscientists.org/luis-alvarez/,"In 1990, two years after Luis Alvarez’s death, the Chicxulub crater in the sea off Mexico’s Yucatan Peninsula came to the attention of geologists, who agreed that the profile and age of the crater matched the Alvarez predictions."
two years,come,Alvarez,https://www.famousscientists.org/luis-alvarez/,"In 1990, two years after Luis Alvarez’s death, the Chicxulub crater in the sea off Mexico’s Yucatan Peninsula came to the attention of geologists, who agreed that the profile and age of the crater matched the Alvarez predictions."
Luis Alvarez’s,come,Mexico,https://www.famousscientists.org/luis-alvarez/,"In 1990, two years after Luis Alvarez’s death, the Chicxulub crater in the sea off Mexico’s Yucatan Peninsula came to the attention of geologists, who agreed that the profile and age of the crater matched the Alvarez predictions."
Luis Alvarez’s,come,Alvarez,https://www.famousscientists.org/luis-alvarez/,"In 1990, two years after Luis Alvarez’s death, the Chicxulub crater in the sea off Mexico’s Yucatan Peninsula came to the attention of geologists, who agreed that the profile and age of the crater matched the Alvarez predictions."
Mexico,come,Alvarez,https://www.famousscientists.org/luis-alvarez/,"In 1990, two years after Luis Alvarez’s death, the Chicxulub crater in the sea off Mexico’s Yucatan Peninsula came to the attention of geologists, who agreed that the profile and age of the crater matched the Alvarez predictions."
"The End
Luis Alvarez",die,the age of 77,https://www.famousscientists.org/luis-alvarez/,"The End
Luis Alvarez died of cancer of the esophagus at the age of 77 on September 1, 1988."
"The End
Luis Alvarez",die,"September 1, 1988",https://www.famousscientists.org/luis-alvarez/,"The End
Luis Alvarez died of cancer of the esophagus at the age of 77 on September 1, 1988."
the age of 77,die,"September 1, 1988",https://www.famousscientists.org/luis-alvarez/,"The End
Luis Alvarez died of cancer of the esophagus at the age of 77 on September 1, 1988."
Geraldine Smithwick,survive,Walter,https://www.famousscientists.org/luis-alvarez/,"He was survived by his first wife Geraldine Smithwick, and their children Walter and Jean; and his second wife Janet Landis, and their children Donald and Helen."
Geraldine Smithwick,survive,Jean,https://www.famousscientists.org/luis-alvarez/,"He was survived by his first wife Geraldine Smithwick, and their children Walter and Jean; and his second wife Janet Landis, and their children Donald and Helen."
Geraldine Smithwick,survive,Janet Landis,https://www.famousscientists.org/luis-alvarez/,"He was survived by his first wife Geraldine Smithwick, and their children Walter and Jean; and his second wife Janet Landis, and their children Donald and Helen."
Geraldine Smithwick,survive,Donald,https://www.famousscientists.org/luis-alvarez/,"He was survived by his first wife Geraldine Smithwick, and their children Walter and Jean; and his second wife Janet Landis, and their children Donald and Helen."
Geraldine Smithwick,survive,Helen,https://www.famousscientists.org/luis-alvarez/,"He was survived by his first wife Geraldine Smithwick, and their children Walter and Jean; and his second wife Janet Landis, and their children Donald and Helen."
Walter,survive,Jean,https://www.famousscientists.org/luis-alvarez/,"He was survived by his first wife Geraldine Smithwick, and their children Walter and Jean; and his second wife Janet Landis, and their children Donald and Helen."
Walter,survive,Janet Landis,https://www.famousscientists.org/luis-alvarez/,"He was survived by his first wife Geraldine Smithwick, and their children Walter and Jean; and his second wife Janet Landis, and their children Donald and Helen."
Walter,survive,Donald,https://www.famousscientists.org/luis-alvarez/,"He was survived by his first wife Geraldine Smithwick, and their children Walter and Jean; and his second wife Janet Landis, and their children Donald and Helen."
Walter,survive,Helen,https://www.famousscientists.org/luis-alvarez/,"He was survived by his first wife Geraldine Smithwick, and their children Walter and Jean; and his second wife Janet Landis, and their children Donald and Helen."
Jean,survive,Janet Landis,https://www.famousscientists.org/luis-alvarez/,"He was survived by his first wife Geraldine Smithwick, and their children Walter and Jean; and his second wife Janet Landis, and their children Donald and Helen."
Jean,survive,Donald,https://www.famousscientists.org/luis-alvarez/,"He was survived by his first wife Geraldine Smithwick, and their children Walter and Jean; and his second wife Janet Landis, and their children Donald and Helen."
Jean,survive,Helen,https://www.famousscientists.org/luis-alvarez/,"He was survived by his first wife Geraldine Smithwick, and their children Walter and Jean; and his second wife Janet Landis, and their children Donald and Helen."
Janet Landis,survive,Donald,https://www.famousscientists.org/luis-alvarez/,"He was survived by his first wife Geraldine Smithwick, and their children Walter and Jean; and his second wife Janet Landis, and their children Donald and Helen."
Janet Landis,survive,Helen,https://www.famousscientists.org/luis-alvarez/,"He was survived by his first wife Geraldine Smithwick, and their children Walter and Jean; and his second wife Janet Landis, and their children Donald and Helen."
Donald,survive,Helen,https://www.famousscientists.org/luis-alvarez/,"He was survived by his first wife Geraldine Smithwick, and their children Walter and Jean; and his second wife Janet Landis, and their children Donald and Helen."
The Doc,enhance,Luis Alvarez,https://www.famousscientists.org/luis-alvarez/,"Author of this page: The Doc
Images of Luis Alvarez enhanced and colorized by this website."
Aristotle,crumble,"Stagira, Macedonia",https://biographyonline.net/scientists/aristotle.html,"“Time crumbles things; everything grows old under the power of Time and is forgotten through the lapse of Time.”
– Aristotle (Physics)
Early life
Aristotle was born in Stagira, Macedonia (northern Greece) around 384 BC."
Aristotle,crumble,Greece,https://biographyonline.net/scientists/aristotle.html,"“Time crumbles things; everything grows old under the power of Time and is forgotten through the lapse of Time.”
– Aristotle (Physics)
Early life
Aristotle was born in Stagira, Macedonia (northern Greece) around 384 BC."
Aristotle,crumble,384 BC,https://biographyonline.net/scientists/aristotle.html,"“Time crumbles things; everything grows old under the power of Time and is forgotten through the lapse of Time.”
– Aristotle (Physics)
Early life
Aristotle was born in Stagira, Macedonia (northern Greece) around 384 BC."
"Stagira, Macedonia",crumble,Greece,https://biographyonline.net/scientists/aristotle.html,"“Time crumbles things; everything grows old under the power of Time and is forgotten through the lapse of Time.”
– Aristotle (Physics)
Early life
Aristotle was born in Stagira, Macedonia (northern Greece) around 384 BC."
"Stagira, Macedonia",crumble,384 BC,https://biographyonline.net/scientists/aristotle.html,"“Time crumbles things; everything grows old under the power of Time and is forgotten through the lapse of Time.”
– Aristotle (Physics)
Early life
Aristotle was born in Stagira, Macedonia (northern Greece) around 384 BC."
Greece,crumble,384 BC,https://biographyonline.net/scientists/aristotle.html,"“Time crumbles things; everything grows old under the power of Time and is forgotten through the lapse of Time.”
– Aristotle (Physics)
Early life
Aristotle was born in Stagira, Macedonia (northern Greece) around 384 BC."
Athens,travel,the Academy of Plato,https://biographyonline.net/scientists/aristotle.html,"After his father’s death, he travelled to Athens to join the Academy of Plato."
Aristotle,study,Plato,https://biographyonline.net/scientists/aristotle.html,As Aristotle studied under Plato he would have learnt about the philosophic traditions of Socrates.
Aristotle,study,Socrates,https://biographyonline.net/scientists/aristotle.html,As Aristotle studied under Plato he would have learnt about the philosophic traditions of Socrates.
Plato,study,Socrates,https://biographyonline.net/scientists/aristotle.html,As Aristotle studied under Plato he would have learnt about the philosophic traditions of Socrates.
Aristotle,return,Alexander the Great,https://biographyonline.net/scientists/aristotle.html,"– Aristotle (Nicomachean Ethics)
Aristotle and Alexander the Great
In 342 BC Aristotle returned to Macedonia to become the teacher of the future Macedonian King – Alexander the Great."
Aristotle,return,342 BC,https://biographyonline.net/scientists/aristotle.html,"– Aristotle (Nicomachean Ethics)
Aristotle and Alexander the Great
In 342 BC Aristotle returned to Macedonia to become the teacher of the future Macedonian King – Alexander the Great."
Aristotle,return,Macedonia,https://biographyonline.net/scientists/aristotle.html,"– Aristotle (Nicomachean Ethics)
Aristotle and Alexander the Great
In 342 BC Aristotle returned to Macedonia to become the teacher of the future Macedonian King – Alexander the Great."
Alexander the Great,return,342 BC,https://biographyonline.net/scientists/aristotle.html,"– Aristotle (Nicomachean Ethics)
Aristotle and Alexander the Great
In 342 BC Aristotle returned to Macedonia to become the teacher of the future Macedonian King – Alexander the Great."
Alexander the Great,return,Aristotle,https://biographyonline.net/scientists/aristotle.html,"– Aristotle (Nicomachean Ethics)
Aristotle and Alexander the Great
In 342 BC Aristotle returned to Macedonia to become the teacher of the future Macedonian King – Alexander the Great."
Alexander the Great,return,Macedonia,https://biographyonline.net/scientists/aristotle.html,"– Aristotle (Nicomachean Ethics)
Aristotle and Alexander the Great
In 342 BC Aristotle returned to Macedonia to become the teacher of the future Macedonian King – Alexander the Great."
342 BC,return,Aristotle,https://biographyonline.net/scientists/aristotle.html,"– Aristotle (Nicomachean Ethics)
Aristotle and Alexander the Great
In 342 BC Aristotle returned to Macedonia to become the teacher of the future Macedonian King – Alexander the Great."
342 BC,return,Macedonia,https://biographyonline.net/scientists/aristotle.html,"– Aristotle (Nicomachean Ethics)
Aristotle and Alexander the Great
In 342 BC Aristotle returned to Macedonia to become the teacher of the future Macedonian King – Alexander the Great."
342 BC,return,Alexander the Great,https://biographyonline.net/scientists/aristotle.html,"– Aristotle (Nicomachean Ethics)
Aristotle and Alexander the Great
In 342 BC Aristotle returned to Macedonia to become the teacher of the future Macedonian King – Alexander the Great."
Macedonia,return,Alexander the Great,https://biographyonline.net/scientists/aristotle.html,"– Aristotle (Nicomachean Ethics)
Aristotle and Alexander the Great
In 342 BC Aristotle returned to Macedonia to become the teacher of the future Macedonian King – Alexander the Great."
Aristotle,teach,several years,https://biographyonline.net/scientists/aristotle.html,"Aristotle taught the future king for several years on political philosophy, history and ethics."
Alexander the Great,ignore,Aristotle,https://biographyonline.net/scientists/aristotle.html,"Alexander the Great would later ignore much of Aristotle’s teachings such as the desirability of oligarchic leadership, but, his education by Aristotle must have left an abiding impression on the young prince."
Aristotle,think,335 BC,https://biographyonline.net/scientists/aristotle.html,"“If liberty and equality, as is thought by some, are chiefly to be found in democracy, they will be best attained when all persons alike share in the government to the utmost.”
– Aristotle (Politics)
In 335 BC, Alexander ascended the throne and began his great wars of conquest."
Aristotle,think,Alexander,https://biographyonline.net/scientists/aristotle.html,"“If liberty and equality, as is thought by some, are chiefly to be found in democracy, they will be best attained when all persons alike share in the government to the utmost.”
– Aristotle (Politics)
In 335 BC, Alexander ascended the throne and began his great wars of conquest."
335 BC,think,Alexander,https://biographyonline.net/scientists/aristotle.html,"“If liberty and equality, as is thought by some, are chiefly to be found in democracy, they will be best attained when all persons alike share in the government to the utmost.”
– Aristotle (Politics)
In 335 BC, Alexander ascended the throne and began his great wars of conquest."
Aristotle,return,Athens,https://biographyonline.net/scientists/aristotle.html,"During this period, Aristotle returned to Athens, where he opened his own school – the Lyceum."
Alexander,seek,Aristotle,https://biographyonline.net/scientists/aristotle.html,"Whilst Alexander did not seek his old tutor’s advice, he appears to have given Aristotle a generous fund to support the Lyceum and Aristotle’s work."
Alexander,seek,Lyceum,https://biographyonline.net/scientists/aristotle.html,"Whilst Alexander did not seek his old tutor’s advice, he appears to have given Aristotle a generous fund to support the Lyceum and Aristotle’s work."
Aristotle,seek,Lyceum,https://biographyonline.net/scientists/aristotle.html,"Whilst Alexander did not seek his old tutor’s advice, he appears to have given Aristotle a generous fund to support the Lyceum and Aristotle’s work."
